JAR File,Vulnerable JAR File Distribution
jgroups-3.2.0.CR1.jar,1.0
commons-fileupload.jar,1.0
jboss-xml-binding-1.0.0.SP1.jar,1.0
shutdown.jar,2.0
org.eclipse.core.expressions_3.4.500.v20130515-1343.jar,1.0
postgresql-8.3-603.jdbc3.jar,2.0
xnio-api.jar,1.0
xdoclet-apache-module-1.2.2.jar,1.0
org-openide-util-lookup.jar,1.0
spring-core.jar,3.0
org.eclipse.search_3.9.0.v20130312-1625.jar,1.0
CrystalFormulas.jar,1.0
run.jar,2.0
exo-struts-1.1.jar,1.0
org.eclipse.pde.ua.core_1.0.300.v20130402-1757.jar,1.0
org.eclipse.equinox.p2.ui.sdk.scheduler_1.2.0.v20130603-2142.jar,1.0
tomcat-jni.jar,1.0
spring.jar,3.0
org.eclipse.equinox.p2.publisher.eclipse_1.1.200.v20130516-1953.jar,1.0
org.eclipse.rcp_4.3.0.v20130605-2000.jar,1.0
mysql-connector-java-3.1.14-bin.jar,1.0
xfire-jsr181-api-1.0-M1.jar,1.0
jsp-2.1.jar,1.0
openide-util.jar,1.0
org.eclipse.ui.forms_3.6.0.v20130517-0139.jar,1.0
org.eclipse.ui.views_3.6.100.v20130326-1250.jar,1.0
org.eclipse.pde.ui.templates_3.4.600.v20130507-2057.jar,1.0
jasper-jdt.jar,1.0
org.eclipse.osgi.services_3.3.100.v20130513-1956.jar,1.0
jarbundler-2.0.0.jar,1.0
org.eclipse.ant.core_3.2.500.v20130402-1746.jar,1.0
org.eclipse.core.databinding.beans_1.2.200.v20130515-1857.jar,1.0
bytelist.jar,1.0
mailapi_1_3_1.jar,1.0
dwr-1.1.1.jar,1.0
jbossws-spi.jar,1.0
svnClientAdapter.jar,2.0
jetty-jmx-5.1.14.jar,1.0
jbosssx.jar,1.0
org.eclipse.core.externaltools_1.0.200.v20130402-1741.jar,1.0
jboss-jaxws-jbossws-2.0.jar,1.0
sslext-1.2-0.jar,1.0
org.eclipse.ui.win32_3.2.400.v20130516-1056.jar,1.0
org.eclipse.core.net.linux.x86_1.0.0.I20080521.jar,1.0
jnr-posix.jar,1.0
pluggable-instrumentor.jar,1.0
org.eclipse.ui.ide_3.9.0.v20130517-0139.jar,1.0
bootstrap.jar,1.0
org.eclipse.equinox.p2.repository_2.3.0.v20130412-2032.jar,1.0
xalan.jar,1.0
org.eclipse.pde.ua.ui_1.0.300.v20130508-1926.jar,1.0
org.eclipse.equinox.jsp.jasper_1.0.400.v20130327-1442.jar,1.0
ejb-management.jar,1.0
poi-2.0-RC1-20031102.jar,2.0
org.eclipse.equinox.p2.reconciler.dropins_1.1.200.v20130419-1850.jar,1.0
mysql-connector-java-5.0.8-bin.jar,1.0
jsf-api-1.1.jar,1.0
geronimo-jms_1.1_spec-1.1.1.jar,1.0
svnjavahl-1.6.0.jar,1.0
tomcat-coyote.jar,1.0
webserver.jar,1.0
mailapi.jar,1.0
jbossts-common.jar,1.0
staxmapper-1.1.0.Final.jar,1.0
winp-1.14-patched.jar,1.0
servlet-api-2.5-20081211.jar,1.0
org.eclipse.e4.ui.workbench3_0.12.0.v20130515-1857.jar,1.0
jbossall-client-4.2.2.ga.jar,1.0
jboss-logging-3.1.1.GA.jar,1.0
org.eclipse.ui.trace_1.0.100.v20130508-1926.jar,1.0
org.eclipse.equinox.ds_1.4.100.v20130515-2026.jar,1.0
struts.jar,2.0
jfreechart.jar,1.0
org.eclipse.pde.ds.ui_1.0.300.v20130507-2057.jar,1.0
gt-epsg-postgresql-2.7-M3.jar,1.0
CrystalExporters.jar,1.0
org.eclipse.core.net.win32.x86_1.0.100.v20100505-1614.jar,1.0
org.eclipse.equinox.security_1.2.0.v20130424-1801.jar,1.0
org.eclipse.jdt.debug.ui_3.6.200.v20130514-0841.jar,1.0
org.eclipse.emf.ecore.edit_2.6.0.v20100914-1218.jar,1.0
org.eclipse.core.runtime.compatibility_3.2.200.v20130326-1255.jar,1.0
webreporting-jsf.jar,1.0
org.eclipse.jdt.junit.runtime_3.4.400.v20130514-0733.jar,1.0
spring-2.5.6.SEC01.jar,1.0
hsqldb-plugin.jar,1.0
servlet-api.jar,1.0
org.eclipse.ui.externaltools_3.2.200.v20130508-2007.jar,1.0
org.eclipse.jdt.apt.core_3.3.500.v20120516-0617.jar,1.0
xmlsec.jar,1.0
mysql-connector-java-5.1.5.jar,1.0
org.eclipse.osgi.util_3.2.300.v20130513-1956.jar,1.0
xmlentitymgr.jar,1.0
org.eclipse.ui.views.log_1.0.400.v20130515-2009.jar,1.0
org.eclipse.jface_3.9.0.v20130521-1714.jar,1.0
commons-fileupload-1.1.1.jar,1.0
xwork-2.0.4.jar,1.0
commons-fileupload-1.2.jar,3.0
xdoclet-jboss-module-1.2.jar,1.0
db2.jar,1.0
snmp-adaptor.jar,1.0
concurrent.jar,1.0
snmpTrapAppender.jar,1.0
jettison.jar,1.0
selenium-core-1.0-beta-2.jar,1.0
mysql-connector-java-3.1.6-bin.jar,1.0
org.eclipse.osgi_3.9.0.v20130529-1710.jar,1.0
org.eclipse.ui.workbench.texteditor_3.8.100.v20130514-1533.jar,1.0
org.eclipse.ui.editors_3.8.100.v20130513-1637.jar,1.0
jbossws-spi-4.2.2.jar,1.0
javamail-crypto-bouncycastle-openpgp.jar,1.0
org.eclipse.equinox.event_1.3.0.v20130327-1442.jar,1.0
quartz.jar,1.0
gt-arcsde-2.7-M3.jar,1.0
gt-db2-2.7-M3.jar,1.0
CrystalDatabaseConnectors.jar,1.0
svnant.jar,2.0
org.eclipse.help.webapp_3.6.200.v20130514-1258.jar,1.0
jsf-api.jar,1.0
jnpserver.jar,2.0
xstream-1.2.2.jar,1.0
org.eclipse.equinox.p2.repository.tools_2.1.0.v20130327-2119.jar,1.0
mysql-connector-java-5.1.7-bin.jar,1.0
org.eclipse.jsch.ui_1.1.400.v20111007-1310.jar,1.0
org.eclipse.jdt.apt.pluggable.core_1.0.400.v20120516-0617.jar,1.0
batik-util.jar,2.0
geronimo-spec-servlet-2.4-rc4.jar,1.0
gnu-regexp-1.1.4.jar,2.0
jakarta-poi-2.5.jar,1.0
avalon-framework.jar,1.0
org.eclipse.jdt.ui_3.9.0.v20130605-1748.jar,1.0
xstream-1.4.2.jar,2.0
org.eclipse.equinox.http.servlet_1.1.400.v20130418-1354.jar,1.0
org.eclipse.jdt.annotation_1.1.0.v20130513-1648.jar,1.0
postgreSQL.jar,1.0
js_axis-1.4patched.jar,1.0
autonumber-plugin.jar,2.0
org.eclipse.jdt.junit4.runtime_1.1.300.v20130514-0733.jar,1.0
jetty-6.1.26.jar,1.0
bsh.jar,1.0
